iteration,processorCount,time
1,1,479458830
2,1,476625054
3,1,473291560
1,2,262965143
1,2,262965139
2,2,261238029
2,2,261238036
3,2,255216210
3,2,255216204
1,4,137811335
1,4,137809900
1,4,137808392
1,4,137808394
2,4,133336693
2,4,133334557
2,4,133334568
2,4,133338106
3,4,140619184
3,4,140617821
3,4,140617822
3,4,140620586
1,8,74969465
1,8,74973833
1,8,74969451
1,8,74972129
1,8,74972978
1,8,74970463
1,8,74974595
1,8,74971285
2,8,74366603
2,8,74368292
2,8,74369076
2,8,74364986
2,8,74364158
2,8,74365779
2,8,74364163
2,8,74367444
3,8,73617377
3,8,73616582
3,8,73619776
3,8,73619009
3,8,73618173
3,8,73621408
3,8,73616577
3,8,73620645
1,16,43686208
1,16,43683201
1,16,43685122
1,16,43681670
1,16,43687157
1,16,43688203
1,16,43686714
1,16,43683696
1,16,43682759
1,16,43684679
1,16,43688716
1,16,43681667
1,16,43685709
1,16,43682148
1,16,43687740
1,16,43684153
2,16,41430611
2,16,41427380
2,16,41429550
2,16,41430124
2,16,41428457
2,16,41426281
2,16,41431176
2,16,41432773
2,16,41429047
2,16,41433245
2,16,41426759
2,16,41425787
2,16,41425788
2,16,41431673
2,16,41432146
2,16,41427862
3,16,42619133
3,16,42617820
3,16,42618693
3,16,42620113
3,16,42616475
3,16,42615105
3,16,42617412
3,16,42615542
3,16,42620509
3,16,42614730
3,16,42616969
3,16,42618272
3,16,42614731
3,16,42620965
3,16,42616036
3,16,42619663
1,32,43572339
1,32,43577710
1,32,43571008
1,32,43573034
1,32,43567877
1,32,43567874
1,32,43569875
1,32,43568573
1,32,43575522
1,32,43572726
1,32,43576663
1,32,43570263
1,32,43569571
1,32,43573369
1,32,43575915
1,32,43578097
1,32,43574424
1,32,43574044
1,32,43573719
1,32,43577059
1,32,43575142
1,32,43568868
1,32,43571695
1,32,43569182
1,32,43576322
1,32,43578978
1,32,43568218
1,32,43574761
1,32,43571394
1,32,43577459
1,32,43572013
1,32,43570696
2,32,42785274
2,32,42793163
2,32,42782662
2,32,42786928
2,32,42789782
2,32,42781827
2,32,42782151
2,32,42788056
2,32,42792450
2,32,42784828
2,32,42792840
2,32,42781531
2,32,42785975
2,32,42783309
2,32,42789409
2,32,42788368
2,32,42785640
2,32,42790906
2,32,42787336
2,32,42783768
2,32,42782998
2,32,42788774
2,32,42792062
2,32,42789083
2,32,42791631
2,32,42790125
2,32,42791223
2,32,42784527
2,32,42788041
2,32,42784481
2,32,42781921
2,32,42790912
3,32,42049350
3,32,42048381
3,32,42046636
3,32,42055302
3,32,42051292
3,32,42047585
3,32,42052559
3,32,42054151
3,32,42057581
3,32,42046628
3,32,42052130
3,32,42053499
3,32,42056779
3,32,42049023
3,32,42053856
3,32,42049684
3,32,42054921
3,32,42057166
3,32,42050905
3,32,42046931
3,32,42047988
3,32,42052872
3,32,42050500
3,32,42055701
3,32,42062092
3,32,42055870
3,32,42052844
3,32,42057304
3,32,42051374
3,32,42054236
3,32,42060249
3,32,42058651
